name,screen_name,location,followers_count,friends_count,tweet
Frederico Araújo,nq6,"Salvador, Ba, Brasil",105,195,"@IvanValente Segura o choro, pois Bolsonaro continua sendo nosso presidente apesar do seu chilique. Em 2022 reeleiç… https://t.co/TlwB4PS9EZ"
Anderson Albuquerque,anderquerque,"Rio Grande do Sul, Brasil",2,49,"@JovemPanNews Não esperem talco e purpurina deste governo, ainda mais da pessoa Bolsonaro, o negócio do governo e p… https://t.co/FfW2ZYNGVF"
Keila Soares������,KeilaSo75345643,"Rio Grande do Sul, Brasil",1248,1850,"RT @angelal42787579: O Que envergonha o Brasil!? 
Ratos que faziam apelo para uma mudança , No entanto estão envolvidos com o comunismo! 
""…"
eu,gatinhos_alados,Other Place,278,192,"@dconline Qualquer pessoa que não apoia o governo Bolsonaro: a
Bolsominions: SeU eSqUeRdOpAtA/u LuLa Ta PrEsU bAbAc… https://t.co/jh2NVYb5Ms"
US colt,UglenoD,,0,65,@brasil247 A BASE DE ALCANTARA QYEM ABRIU PRIMEIRO PRÁ UCRÂNIA FOI O GOVERNO LULA. OU SE ESQUECERAM?VOCÊS SÃO PÉSSIMOS
Thaúanna Cavalcante,Thauanna_tx,"João Pessoa, Brasil",286,1577,"@OGlobo_Mundo Mas não fala nadaaaa que preste né?  Jesus!!  Este é de fato um governo autodestrutivo, é só esperar… https://t.co/YlgpTOq3XT"
andressa,affgrr,,293,191,doidissima pra mamar nas tetas do governo
Samy F. Echeverria ������,SamyEcheverria,"Congonhas, Brasil",748,944,"RT @ArticulacaoC: O Brasil vem buscando há muito tempo sua inclusão como membro na OCDE. Atualmente, o Governo brasileiro tem participado d…"
Natty Campos ❤��,nattyshaa,Campo Grande - MS/ #BRA,17026,10889,"RT @rglioche: Essa charge do William Medeiros é muito boa. Além de adotar uma postura trumpista, ao invés de pró-EUA, Bolsonaro parece meno…"
André Corrêa Rollo,CorreaRollo,,805,1617,RT @manoelmsgontijo: Moro busca acordo p/ troca de informações c/ a CIA e FBI; Pontes busca parceria c/ SpaceX e NASA; o PR Bolsonaro assin…
felizadversário,wharuever,"São Paulo - SP, Brasil",291,254,Quero só ver quando vazar a lista secreta interna de aliados do governo e o apelido do Trump for Sugar Daddy.
Eduarda,EduardaItsMe,,33,127,"RT @Iaralemos: Cidadãos dos EUA, Canadá, Japão e Austrália podem entrar sem visto a partir de agora no Brasil. Já nós, continuamos pagando…"
Ricardo Rios,RicardoRios1968,Brasil,1,22,"@DeputadoFederal A que ponto chegou um representante de estado, alem de ter conseguido ser  o pior governo da histó… https://t.co/JTac5mXz5T"
regina.anta_gonica,lourasincerona,,224,486,"RT @EfBianca: É patriota mas chama o Brasil de lixo. 

É contra a mamata mas gasta milhões no cartão corporativo. 

É um governo pautado na…"
Davi Marques,DaviMarquesLda,,26,298,RT @PauloVieiraReal: Bolsonaro acha chique assinar QUALQUER contrato com o governo americano. É o típico Brasileiro médio que queria ter na…
Ricardão,Rodorgio,In Oakland,131,732,"RT @EduardoLaviano: ""Make Brasil great again"" ou seja o cara assumiu que quer a volta do governo Lula??? https://t.co/lidvBkUl8w"
Erick de Aquino,erickdeaquino,"São Paulo, Brasil",40,457,"@DayseRamires @P_droMenezes Bom, se depois disso tudo você: (i) não pesquisou sobre algum caso que alguém ligado ao… https://t.co/2DmD5xYj2g"
NICE COSTA,NICECOS61738339,,205,116,"RT @piccollinadory: ""Terceiro mês de governo Bolsonaro e nada da tão prometida dentadura 
Vou acionar o Procon, não foi isto que a mídia me…"
Emerson.,leticiachaves02,"Praia de Itaparica, Vila Velha",37,140,@allantercalivre Pior é se eles respondem são arrogantes e se eles não respondem também são arrogantes.. ������� O… https://t.co/dg1rOI0Lga
Rafael Silva,rafa_tchuitter,,33,335,"RT @samirsalimjr: Amigo meu tava reclamando sobre a abordagem da Jovem Pan, a falta de temas leves nos programas de entretenimento, sobre c…"
Frederico Araújo,nq6,"Salvador, Ba, Brasil",105,195,"@taliriapetrone Segura o choro, pois Bolsonaro continua sendo nosso presidente apesar do seu chilique. Em 2022 reel… https://t.co/c1GUEBfEa5"
@percivalsincero,percivalsincero,,6,70,"RT @EfBianca: É patriota mas chama o Brasil de lixo. 

É contra a mamata mas gasta milhões no cartão corporativo. 

É um governo pautado na…"
