name,screen_name,location,followers_count,friends_count,tweet
Vanderson,Vanders19000952,,8,45,RT @paudo_guedes: Eu estava ontem na manifestação da Paulista. Vi o MBL bipolar: puxava os gritos da campanha do Jair mas tentava alfinetar…
aa,gezfucks,sei lá,2604,2092,"RT @PastorMalafaia: O FILHO DO PRESIDENTE, Eduardo Bolsonaro, ajudaria muito mais ao governo do seu pai, parando de falar asneira. Poderia…"
Dr Estranho,DrEstranho20,,3,27,@reinaldoazevedo @UOLNoticias @UOL @UOLPolitica O mecanismo acionado tem algumas das mesmas engrenagens que derruba… https://t.co/xyHuzNc2xg
ClaudioHenriqueVaz,chevaz,Rio de Janeiro,1292,1141,"RT @PastorMalafaia: O FILHO DO PRESIDENTE, Eduardo Bolsonaro, ajudaria muito mais ao governo do seu pai, parando de falar asneira. Poderia…"
Edilene Soares ��,Edilenesoaresg2,,197,47,"RT @vanadias: Já q a TV, as Revistas e Jornais, os Portais NÃO CONSEGUEM Acabar Com o Governo de @jairbolsonaro,Toffoli @STF_oficial APELOU…"
ArkStar,dimastec,Brasil,99,135,"Só vejo um sentido nisso: A folha de São Paulo precisa estar em alta, e pra ela fazer isso tem q sempre polemizar c… https://t.co/FB01gQ8YVU"
Brito,nn81,Europa,9560,4514,"RT @JooPiresdaCruz1: O camarada Jerónimo tem razão, ele apoia um governo que não foi eleito e não sequer teve que sair de casa. Andam agora…"
Sansbobina ultimate,PunkEmoGay,,70,116,"RT @EduardoLaviano: ""Make Brasil great again"" ou seja o cara assumiu que quer a volta do governo Lula??? https://t.co/lidvBkUl8w"
leandro bastos,leandrobastoleo,"Niterói, Brasil",244,416,RT @fimdejogo: Concessão do Maracanã cancelada pelo governo do estado. Ela tem até o dia 19 de abril para deixar o estádio
Fernando Molinari,nandomolinari,Rio de Janeiro,407,983,"RT @Samternura: @xicograziano @jairbolsonaro A Folha, muito esperta, está  oferecendo  jornal ""grátis"" para os professores. Fake  news e cr…"
